input,language,decidability,target_expert,allowed_experts,difficulty,group_id,source_type,source_id,record_type,ko_node_ids,ood_flag,boundary_flag,quality_status,notes
"ما موضوع «الرياضيات» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The formal study of quantity, structure, space, change, uncertainty, and patterns through abstraction, deduction, and proof.)",mixed,decisive,O_subject_ontology,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=O; owner_approved_2026-09-05
عند دراسة «الرياضيات»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=E; owner_approved_2026-09-05
كيف يرتبط «الرياضيات» بموضوعه الأب «المستوى الأعلى»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «الرياضيات»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «الرياضيات» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=A; owner_approved_2026-09-05
كيف تطورت «الرياضيات» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=T; owner_approved_2026-09-05
ما أثر «الرياضيات» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,easy,math,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math,false,false,approved,curriculum_generated from ko.math.v0.1.math; lens=H; owner_approved_2026-09-05
"ما موضوع «الجبر» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of algebraic structures, operations, equations, and the relationships preserved by algebraic transformations.)",mixed,decisive,O_subject_ontology,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=O; owner_approved_2026-09-05
عند دراسة «الجبر»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=E; owner_approved_2026-09-05
كيف يرتبط «الجبر» بموضوعه الأب «الرياضيات»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=R; owner_approved_2026-09-05
